name,,n,clinical_phase,moa,target,disease_area,indication,drug_median_score,in_vitro,all_virus_mock_meta_GSE47960_SARS-BatSRBD_HAE_36_72,all_virus_mock_meta_GSE47960_SARS-dORF6_HAE_12_48,all_virus_mock_meta_GSE47960_SARS-dORF6_HAE_48_60,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_mock_meta_GSE68820_SARS_lung_wt_2_4,all_virus_mock_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_0_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_48
etodolac,,19,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2|RXRA,rheumatology,osteoarthritis|rheumatoid arthritis,1271,FALSE,1400,1025,1274,1333,1349,1356,669,1144,1221,1271,1203
o-1918,,2,Preclinical,cannabinoid receptor antagonist,,,,1271,FALSE,1636,1455,191,1337,1111,1007,443,1072,1588,1687,1271
tozasertib,,138,Phase 2,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor,AURKA|AURKB|AURKC|LCK,,,1271,FALSE,1600,415,763,1373,1431,1271,1464,279,359,951,1278
carteolol,,5,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,ophthalmology,intraocular pressure|glaucoma|ocular hypertension,1272,FALSE,156,1544,1472,1272,1187,1316,697,1306,614,1277,1003
fluconazole,,4,Launched,sterol demethylase inhibitor,CYP51A1,infectious disease,esophageal candidiasis|meningitis,1273,FALSE,764,1248,155,1273,1206,1426,1626,1444,1262,1362,1495
felodipine,,6,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1H|CACNA1S|CACNA2D1|CACNA2D2|CACNB2|CALM1|CFTR|NR3C2|PDE1A|PDE1B|TNNC1|TNNC2,cardiology,hypertension,1275,FALSE,893,752,1552,1030,1438,684,603,1353,1344,1275,1415
proadifen,,10,Preclinical,nitric oxide synthase inhibitor,NOS1,,,1275,FALSE,1153,1108,1025,1275,1318,1384,1553,1291,1186,1215,1351
atracurium,,3,Launched,acetylcholine receptor antagonist,CHRNA2,critical care|neurology/psychiatry,endotracheal intubation|muscle relaxant,1276,FALSE,1323,1441,1276,600,1002,427,1528,1517,1208,1392,1121
famprofazone,,2,Preclinical,cyclooxygenase inhibitor,,,,1276,FALSE,1709,1354,1671,1158,1164,1077,755,248,1695,1569,1276
nemonapride,,9,Launched,dopamine receptor antagonist,DRD2|DRD3|DRD4,neurology/psychiatry,schizophrenia,1276,FALSE,1306,1292,1247,1095,1276,1285,1355,634,1352,1220,1144
triprolidine,,7,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis,1276,FALSE,1276,1396,355,1070,1022,735,1353,1318,1579,1213,1520
zm-241385,,7,Preclinical,adenosine receptor antagonist,ADORA1|ADORA2A|ADORA2B|ADORA3,,,1277,FALSE,966,1404,1618,1451,1277,872,1131,1123,1266,1426,1384
meclofenoxate,,2,Launched,nootropic agent,,neurology/psychiatry,senile dementia|Alzheimer's disease,1278,FALSE,1356,1249,1278,1470,1468,904,705,1311,1620,1267,1264
hymecromone,,2,Phase 2,monoamine oxidase inhibitor,MAOA|MAOB,,,1279,FALSE,1714,22,141,1279,1626,1379,333,1054,164,1646,1508
orantinib,,28,Phase 3,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,AURKA|AURKB|EGFR|FGFR1|FGFR2|KDR|PDGFRA|PDGFRB,,,1279,FALSE,1449,1285,1571,1091,1207,930,732,1279,1147,1414,1424
epirizole,,5,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry,pain relief,1280,FALSE,1620,437,597,1513,1280,1036,805,1037,1362,1492,1554
tolazamide,,22,Launched,ATP channel blocker,ABCC8|KCNJ1|KCNJ10|KCNJ11,endocrinology,diabetes mellitus,1280,FALSE,1125,1390,1369,1136,787,869,1566,1081,1280,1289,1342
betulinic-acid,,6,Phase 1/Phase 2,apoptosis stimulant|NFkB pathway inhibitor,GPBAR1,,,1281,FALSE,599,1330,921,1389,1583,1431,1525,1281,1149,947,1093
lfm-a13,,31,Preclinical,Bruton's tyrosine kinase (BTK) inhibitor,BTK,,,1281,FALSE,1426,1262,791,1281,1360,1415,1308,607,1104,1341,1141
ranitidine,,18,Launched,histamine receptor antagonist,HRH2,gastroenterology,heartburn,1282,FALSE,1573,915,1463,1282,1459,1126,836,1141,1188,1471,1376
nicardipine,,25,Launched,calcium channel blocker,ADORA3|ADRA1A|ADRA1B|ADRA1D|CACNA1C|CACNA1D|CACNA2D1|CACNB2|CALM1|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|PDE1A|PDE1B,cardiology,chronic stable angina|hypertension,1283,FALSE,1389,1149,1656,1590,1594,1277,1331,1164,1201,1283,1024
retinol,,28,Launched,retinoid receptor ligand,ALDH1A1|ALDH1A2|ALDH1A3|DHRS3|DHRS4|LRAT|NR2C2|RBP1|RBP3|RDH11|RDH12|RDH13|RDH14|RDH5|RDH8|RETSAT|RHO|RLBP1|RXRA|RXRB|RXRG,dermatology,cosmetic|acne vulgaris (AV)|keratosis,1284,FALSE,1497,1376,1360,1346,1377,1022,1094,1284,1138,1279,1157
ncs-382,,10,Preclinical,GABA receptor antagonist,GABBR1|GABBR2|SLC52A2,,,1285,FALSE,1257,909,1405,1285,1518,1370,854,994,1101,1539,1387
sb-218795,,9,Preclinical,tachykinin antagonist,TACR3,,,1286,FALSE,767,994,1097,1286,809,1484,905,1516,1500,1367,1460
moxonidine,,5,Launched,imidazoline receptor agonist,ADRA2A|ADRA2B|ADRA2C,cardiology,hypertension,1287,FALSE,1122,1692,929,1288,1287,1146,1425,780,1332,1196,1298
quinidine,,15,Launched,sodium channel blocker,KCNA5|KCNA7|KCNH1|KCNH2|KCNH5|KCNK1|KCNK6|SCN5A|SLC29A4,infectious disease|cardiology,malaria|atrial fibrillation (AF)|ventricular arrhythmias,1287,FALSE,1031,1191,1499,1432,1338,1353,1373,878,1106,1287,1208
acadesine,,5,Phase 3,AMPK activator,,,,1288,FALSE,346,1480,1407,1330,1288,1573,878,534,1278,1389,928
urapidil,,4,Launched,adrenergic receptor antagonist,HTR1A,cardiology,hypertension,1288,FALSE,1366,1288,909,1159,1324,834,995,1314,1401,1442,1230
6-benzylaminopurine,,2,Preclinical,purinergic receptor activator,,,,1289,FALSE,1289,1585,1129.5,1426,566,1653,1084,1557,810,1319,707
temefos,,3,Launched,cholinesterase inhibitor,,,,1289,FALSE,698,846,1316,964,1576,1631,989,1289,1479,1346,709
sr-57227a,,7,Phase 2,serotonin receptor agonist,HTR3A,,,1291,FALSE,963,1295,700,1359,1291,1296,1580,1296,737,1203,591
triclabendazole,,3,Launched,microtubule inhibitor,DNMT1,infectious disease,tapeworm,1291,FALSE,1443,1213,95,1375,1127,1460,388,1579,1635,940,1291
caffeine,,9,Launched,adenosine receptor antagonist|phosphodiesterase inhibitor,ADORA1|ADORA2A|ADORA2B|ADORA3|ATM|ITPR1|ITPR2|ITPR3|PDE10A|PDE11A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|PIK3CA|PIK3CB|PIK3CD|PRKDC|RYR1|RYR2|RYR3,neurology/psychiatry,fatigue|drowsiness|fatigue|drowsiness,1292,FALSE,943,1428,1270,1414,1488,1508,921,580,1292,1302,997
flunarizine,,8,Launched,calcium channel blocker,CACNA1G|CACNA1H|CACNA1I|CALM1|HRH1,neurology/psychiatry|cardiology,migraine headache|vertigo|peripheral artery disease (PAD),1292,FALSE,999,1374,1390,1365,1010,1252,960,495,1397,1292,1389
skf-77434,,7,Preclinical,dopamine receptor agonist,DRD1,,,1293,FALSE,1505,1523,382,1390,1186,1264,1644,1369,1132,1234,1293
mnitmt,,6,Preclinical,lymphocyte inhibitor,,,,1294,FALSE,773,682,1037,1366,1012,1308,797,1540,1450,1400,1294
ru-24969,,10,Phase 1,serotonin receptor agonist,HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR6,,,1294,FALSE,1279,1230,1415,1312,1505,1312,1294,1406,1047,1126,1068
homochlorcyclizine,,5,Launched,antihistamine,HRH1,allergy,allergic rhinitis,1295,FALSE,1512,882,1563,1295,1072,1582,688,1184,1429,985,1566
cyclopentolate,,2,Launched,acetylcholine receptor antagonist,CHRM1,ophthalmology,mydriasis|cycloplegia,1296,FALSE,1052,1547,1296,1716,1508,1695,908,1145,845,1309,996
sc-19220,,5,Preclinical,prostanoid receptor antagonist,PTGER1,,,1296,FALSE,1710,887,1088,1674,1711,1363,299,1510,849,982,1296
tremorine,,6,Preclinical,acetylcholine receptor agonist,,,,1297,FALSE,1557,990,1609,1108,1055,1570,1015,1297,1519,1619,1191
artemether,,3,Launched,antimalarial agent,ATP1A1,infectious disease,malaria,1298,FALSE,1696,1089,1298,1575,1693,1099,342,1150,909,1596,1493
racecadotril,,6,Launched,enkephalinase inhibitor,MME,gastroenterology,diarrhea,1298,FALSE,1499,1350,308,815,832,543,930,1526,1428,1298,1358
diphenidol,,5,Launched,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4,neurology/psychiatry,vertigo,1299,FALSE,1503,1166,1629,1189,1362,1014,1498,1063,1299,1579,1262
qx-314,,5,Preclinical,sodium channel blocker,MAPK14|TGFBR1,,,1301,FALSE,1413,1301,1650,997,748,657,1182,719,1555,1354,1482
vardenafil,,8,Launched,phosphodiesterase inhibitor,PDE5A|PDE6G|PDE6H,urology,erectile dysfunction,1301,FALSE,869,1592,743,1301,1227,1644,1584,470,1368,1505,1254
phenothiazine,,13,Preclinical,dopamine receptor antagonist,,,,1302,FALSE,1310,1150,1641,1287,1306,1438,1493,1302,943,1005,979
secnidazole,,3,Launched,acetylcholinesterase inhibitor|microtubule inhibitor,,infectious disease,protozoan infection,1303,FALSE,1403,1243,1287,1620,1611,1701,1303,1341,819,1068,960
carbenoxolone,,9,Launched,11-beta hydroxysteroid dehydrogenase inhibitor,GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|HSD11B1|PANX1|PANX2|PANX3,gastroenterology|dental,peptic ulcer disease (PUD)|mouth inflammation,1304,FALSE,951,1304,1670,1297,960,862,730,1529,1523,1363,1375
sumatriptan,,2,Launched,serotonin receptor agonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR5A|HTR6|HTR7,neurology/psychiatry,migraine headache,1306,FALSE,283,1306,865,1706,1606,1274,258,1638,1512,1150,1577
tofacitinib,,2,Launched,JAK inhibitor,JAK1|JAK2|JAK3|TYK2,rheumatology,rheumatoid arthritis,1306,FALSE,1577,1552,1096,1669,1428,1360,1306,1025,806,1066,821
6-aminochrysene,,4,Phase 2,transferase inhibitor,,,,1307,FALSE,712,1572,1594,949,1224,1452,1154,1307,1419,1106,1697
nitrendipine,,21,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1H|CACNA1S|CACNA2D1|CACNA2D2|CACNB2|CACNG1|KCNN4,cardiology,hypertension,1307,FALSE,1407,1343,1368,1215,1158,1307,1412,1166,1385,1183,1231
zolmitriptan,,4,Launched,serotonin receptor agonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F,neurology/psychiatry,migraine headache,1308,FALSE,1113.5,1053,1169,1338,1325,1299,1469,1368,1308,1252,1458
adenosine-phosphate,,2,Launched,adenosine receptor agonist,ACSL1|ACSS1|ACSS2|ADCY1|ADK|CREB1|FBP1|HINT1|PDE4B|PDE4D|PIM1|PRKAA1|PRKAB1|PRKAB2|PYGL|TRPM4,,,1310,FALSE,1113.5,623,1253,1688,1676,1551,567,1588,1283,1310,1529
mephentermine,,7,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3,cardiology,hypotension,1310,FALSE,1479,1385,167,1524,1310,1364,1020,1474,663,1291,1043
exo-1,,7,Preclinical,ARF inhibitor,,,,1311,FALSE,1501,1459,665,1336,1228,1355,1311,722,1181,1225,1565
ha-1004,,10,Phase 2,calcium channel blocker,,,,1312,FALSE,1312,964,1373,1600,1538,1574,1639,461,573,895,1174
roquinimex,,4,Phase 3,angiogenesis inhibitor|tumor necrosis factor production inhibitor,,,,1312,FALSE,1514,1431,1225,1540,1018,1282,1392,1153,1312,1290,1397
jzl-184,,10,Preclinical,monoacylglucerol lipase inhibitor,MGLL,,,1313,FALSE,1584,1436,1280,1313,1552,1377,1187,1202,1220,1402,1273
synephrine,,5,Launched,adrenergic receptor agonist,ADRA1A,,,1313,FALSE,1064,1313,406,1495,1272,1409,871,1280,1664,1324,1633
quipazine,,14,Preclinical,serotonin receptor agonist,,,,1314,FALSE,1414,1504,1500,961,1056,972,1577,1240,1458,1314,1312
carbinoxamine,,10,Launched,histamine receptor antagonist,HRH1,allergy|ophthalmology|otolaryngology|dermatology,allergic rhinitis|conjunctivitis|vasomotor rhinitis|dermatographism,1315,FALSE,1111,1624,1210,1434,1262,1315,1299,1136,1573,1605,1643
dolasetron,,4,Launched,serotonin receptor antagonist,HTR3A,gastroenterology,nausea|vomiting,1315,FALSE,1269,1582,927,1473,1462,1250,1607,904,1315,1345,1099
mek1-2-inhibitor,,11,Preclinical,MEK inhibitor,MAP2K2,,,1318,FALSE,1329,520,811,1339,1663,1341,1500,283,472,920,1318
piperidolate,,8,Launched,acetylcholine receptor antagonist,CHRM1,neurology/psychiatry,spasms,1318,FALSE,1486,1193,988,1560,1172,1489,1439,914,1215,1318,1468
ub-165,,9,Preclinical,acetylcholine receptor agonist,CHRNA3|CHRNA4|CHRNB2,,,1319,FALSE,1608,423,972,1509,1653,1516,522,867,855,1349,1319
ethotoin,,4,Launched,hydantoin antiepileptic,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures,1320,FALSE,580,1291,1320,500,839,1444,1702,1248,1623,1530,1589
phenformin,,8,Withdrawn,AMPK activator,KCNJ8|PRKAA1,,,1320,FALSE,1152,1668,266,1169,1020,1432,1192,1504,1456,1320,1527
nabumetone,,7,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,rheumatoid arthritis|osteoarthritis,1321,FALSE,808,1638,874,1394,872,1258,1321,1445,1442,1146,1359
fpl-64176,,16,Preclinical,calcium channel activator,CACNA1C|CACNA1S,,,1322,FALSE,1098,1322,1442,1140,808,1079,1307,1450,1544,1336,1563
oxybutynin,,2,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,urology,urinary incontinence,1323,FALSE,224,1369,892,1413,1195,1074,150,1364,1399,1323,1570
ozagrel,,9,Launched,thromboxane synthase inhibitor,TBXAS1,neurology/psychiatry,stroke,1323,FALSE,1444,1662,822,1323,990,1265,694,928,1367,1525,1488
methazolamide,,3,Launched,carbonic anhydrase inhibitor,CA1|CA12|CA14|CA2|CA4|CA7,ophthalmology,glaucoma|intraocular pressure,1324,FALSE,822,1674,1145,1324,1282,737,1210,1471,1691,1571,1627
palmitoylethanolamide,,6,Launched,cannabinoid receptor agonist,CNR2|GPR119|GPR55,,,1324,FALSE,911,1324,1184,1491,1265,1572,888,883,1624,1594,1491
doxepin,,17,Launched,histamine receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HRH2|HRH4|HTR1A|HTR2A|HTR2B|HTR2C|HTR6|KCNH2|SLC6A2|SLC6A4,neurology/psychiatry,depression|anxiety,1325,FALSE,1432,1457,1119,1299,1163,1325,1444,1004,1284,1377,1369
u-99194,,5,Preclinical,dopamine receptor antagonist,DRD3,,,1328,FALSE,1688,1267,1543,1305,1328,1228,1414,1026,802,1351,1436
captopril,,2,Launched,angiotensin converting enzyme inhibitor,ACE|LTA4H|MMP2|MMP9,cardiology|endocrinology|nephrology,hypertension|congestive heart failure|myocardial infarction|diabetes mellitus|diabetic nephropathy,1331,FALSE,1344.5,1353,702,1665,1096,545,907,1132,1530,1359,1331
skf-89976a,,6,Preclinical,GABA uptake inhibitor,SLC6A1,,,1331,FALSE,1493,1403,1525,1331,1011,891,1367,1468,1252,1260,1040
buphenine,,9,Launched,adrenergic receptor agonist,ADRB2,rheumatology,Raynaud's disease,1332,FALSE,1605,1279,1256,1628,1625,1192,1531,1611,989,1332,1241
icariin,,3,Phase 3,phosphodiesterase inhibitor,PDE5A,,,1333,FALSE,1168,755,1614,640,1333,1135,528,1659,1528,1470,1350
raclopride,,8,Launched,dopamine receptor antagonist,DRD2|DRD3|HTR1A,,,1333,FALSE,1448,1310,1237,1624,1534,1333,1630,1512,1321,1329,1097
sb-206553,,6,Preclinical,serotonin receptor antagonist,HTR2A|HTR2B|HTR2C,,,1333,FALSE,1686,1057,1632,1478,1624,1092,1333,1672,1305,1190,1279
tramadol,,9,Launched,norepinephrine reputake inhibitor|opioid receptor agonist|serotonin reuptake inhibitor,CHRFAM7A|CHRM3|GRIN3A|HTR2C|OPRD1|OPRK1|OPRM1|SLC6A2|SLC6A4,neurology/psychiatry,acute pain|chronic pain,1335,FALSE,1436,1326,1354,1402,1485,1335,1285,1342,1131,1171,1095
mephenytoin,,3,Launched,hydantoin antiepileptic,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures,1336,FALSE,1357,1336,477,629,843,969,1011,1688,1705,1397,1377
disopyramide,,6,Launched,sodium channel blocker,CHRM1|CHRM2|CHRM3|KCND2|KCND3|KCNH2|SCN5A,cardiology,ventricular tachycardia (VT)|ventricular arrhythmias,1338,FALSE,1504,1506,442,1196,995,1448,1436,1017,1046,1358,1338
finasteride,,9,Launched,5 alpha reductase inhibitor,AKR1D1|SRD5A1|SRD5A2,endocrinology,androgenetic alopecia,1338,FALSE,961,720,928,1453,1458,1478,1338,1038,1172,1355,1430
luzindole,,4,Preclinical,melatonin receptor antagonist,MTNR1A|MTNR1B,,,1338,FALSE,1140,1595,1569,1263,1258,1322,594,1338,1669,1465,1381
toltrazuril,,6,Launched,antiprotozoal agent,,infectious disease,coccidiosis,1338,FALSE,988,900,648,1444,1523,1338,690,1290,1488,1418,1646
articaine,,4,Launched,local anesthetic,,neurology/psychiatry,local anesthetic,1339,FALSE,1599,1434,1494,1086,684,1368,927,397,1013,1339,1396
dnqx,,5,Preclinical,glutamate receptor antagonist,GRIA1|GRIA2|GRIK1|GRIN1|GRIN2A|GRIN2B,,,1341,FALSE,1510,1395,1383,1496,1126,1324,1341,1501,1323,1306,1209
dydrogesterone,,5,Launched,progesterone receptor agonist,PGR,obstetrics/gynecology,infertility,1342,FALSE,1433,1517,1675,922,802,1005,373,1664,1342,1461,880
estriol,,17,Launched,estrogen receptor agonist,ESR1|ESR2,endocrinology|obstetrics/gynecology|infectious disease,menopause|vaginal atrophy|urinary tract infections,1342,FALSE,1342,1130,1597,1351,1190,1410,1024,1264,1256,1445,1394
naproxen,,8,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,neurology/psychiatry|rheumatology|dental|otolaryngology|endocrinology,pain relief|rheumatoid arthritis|headache|toothache|backache|muscle pain|common cold|fever,1343,FALSE,1562,1261,1065,1685,1659,1439,1238,950,1084,1343,1567
xaliproden,,6,Phase 3,serotonin receptor agonist,HTR1A,,,1343,FALSE,1524,1469,1343,1379,1416,1120,700,791,1197,1285,1462
cinalukast,,7,Phase 2,leukotriene receptor antagonist,CYSLTR1,,,1344,FALSE,1369,1331,1621,981,1199,830,376,1359,1558,1516,1344
mesoridazine,,18,Launched,dopamine receptor antagonist,DRD2|HTR2A,neurology/psychiatry,schizophrenia,1344,FALSE,1427,1259,580,1439,1233,1243,1564,1344,1170,1478,1411
sb-269970,,5,Preclinical,serotonin receptor antagonist,HTR7,,,1344,FALSE,1551,1307,107,1649,1649,1344,1587,1269,626,971,1368
kanamycin,,2,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,gram-negative bacterial infections,1344.5,FALSE,1344.5,1139,1070,1561,1453,1127,739,1462,1218,1440,1523
pranlukast,,2,Launched,leukotriene receptor antagonist,CYSLTR1|CYSLTR2|IL5|MUC2|NFKB1|RNASE3|TNF,pulmonary,bronchospasm|asthma|bronchospasm|asthma,1345,FALSE,965,1281,96,1508,1550,1345,741,717,1407,1640,1619
deferiprone,,2,Launched,chelating agent,UGT1A6,hematology,transfusional hemosiderosis|thalassemia|iron overload,1347,FALSE,685,1713,1081,1574,1441,1645,1038,1237,1700,1305,1347
tinidazole,,3,Launched,antiprotozoal agent,,infectious disease|obstetrics/gynecology,giardiasis|amebiasis|bacterial vaginosis|trichomoniasis,1347,FALSE,868,1360,1665,1382,1327,1518,1652,1319,1347,1295,1176
acdpp,,4,Preclinical,glutamate receptor antagonist,GRM5,,,1348,FALSE,675,1702,1514.5,1348,1149,1301,1234,1601,1619,1497,864
hyoscyamine,,7,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4,gastroenterology|urology|neurology/psychiatry|allergy,peptic ulcer disease (PUD)|acute abdominal visceral spasm|ulcerative colitis|interstitial cystitis (IC)|enterocolitis|irritable bowel syndrome|tremors|allergic rhinitis,1348,FALSE,1015,1348,995,768,554,1054,1429,1612,1627,1524,1507
butenafine,,2,Launched,fungal squalene epoxidase inhibitor,SQLE,infectious disease,tinea pedis|tinea cruris|tinea corporis,1349,FALSE,1218,785,1423,1445,1687,1619,1310,1349,1396,1303,1224
cimaterol,,5,Preclinical,adrenergic receptor agonist,ADRB1|ADRB2|ADRB3,,,1349,FALSE,1349,1128,1549,1369,784,1108,1624,1112,1270,1519,1363
propentofylline,,3,Launched,adenosine reuptake inhibitor|phosphodiesterase inhibitor,PDE1A,neurology/psychiatry,stroke,1349,FALSE,1470,1512,1105,1658,1669,1349,1556,474,302,1235,1060
alfaxalone,,4,Launched,chloride channel agonist|benzodiazepine receptor agonist,GABBR1,neurology/psychiatry,general anaesthetic,1350,FALSE,915,1684,451,773,1105,1417,1695,768,1350,1577,1683
nadide,,2,Launched,electron acceptor,AHCY|AKR1A1|ALDH2|BLVRA|DHPS|DLD|GALE|HMGCR|HSD17B1|HSD17B4|IMPDH2|MGAM|P2RY11|SORD|TRPM2,,,1350,FALSE,1650,665,199,1715,1699,1189,1462,1435,790,1350,994
ribavirin,,10,Launched,antiviral,ADK|ENPP1|IMPDH1|IMPDH2|NT5C2,infectious disease,hepatitis C,1352,TRUE,1393,934,783,1500,1574,1141,1432,848,864,1352,1564
l-670596,,4,Preclinical,prostanoid receptor antagonist,,,,1353,FALSE,1457,946,452,971,1465,1699,1524,1554,1206,778,1353
mifobate,,3,Phase 2,PPAR receptor antagonist,PPARG,,,1353,FALSE,1327,1156,1678,1353,932,967,1717,1636,605,1675,1418
niflumic-acid,,2,Launched,cyclooxygenase inhibitor,ANO1|CLCN1|CLCNKA|CLCNKB|KCNQ1|PLA2G1B|PLA2G4A|PTGS1|PTGS2|UGT1A9,rheumatology|neurology/psychiatry,joint pain|muscle pain,1353,FALSE,381,950,55,1682,1674,1569,1716,1670,719,1353,998
suramin,,3,Launched,DNA synthesis inhibitor,F2|FSHR|P2RY1|P2RY11|P2RY13|P2RY2|PLA2G2A|RYR1|RYR2|SIRT5,infectious disease,African trypanosomiasis|onchocerciasis,1353,FALSE,1659,1583,1353,1646,1710,1294,1687,968,892,1172,1064
ys-035,,2,Preclinical,calcium channel blocker,,,,1353,FALSE,1645,1169,344,1151,1353,1292,1672,1715,1293,1662,1614
pd-166793,,9,Preclinical,collagenase inhibitor|metalloproteinase inhibitor,MMP13|MMP2|MMP3,,,1355,FALSE,1639,1413,1565,1355,1533,729,671,759,1076,1175,1432
rwj-21757,,2,Phase 1,toll-like receptor agonist,TLR7,,,1356,FALSE,1648,685,1356,1447,956,1670,1330,807,1604,1623,760
tak-715,,25,Phase 2,p38 MAPK inhibitor,MAPK14,,,1360,FALSE,1231,1528,968,1078,972,1380,1113,1598,1360,1467,1464
tetradecylthioacetic-acid,,6,Phase 2,lipid peroxidase inhibitor,,,,1361,FALSE,1258,1499,351,1316,1361,1218,1470,799,1440,1527,1533
oxybenzone,,7,Launched,lipase inhibitor,LIPE,dermatology,sunscreen lotion,1363,FALSE,918,1386,1203,1361,1563,1040,1171,1363,1443,1498,1442
chlortetracycline,,5,Launched,protein synthesis inhibitor,,ophthalmology,conjunctivitis,1364,FALSE,1624,1325,1364,902,777,1347,1506,1292,1471,1518,1525
clomethiazole,,6,Launched,GABA receptor antagonist|GABA receptor modulator,GABRA1,neurology/psychiatry,Parkinson's Disease|sedative|muscle relaxant,1365,FALSE,1390,1484,556,1315,1365,1387,1535,1415,697,1125,911
diethylstilbestrol,,9,Withdrawn,estrogen receptor agonist,ESR1|ESR2|ESRRB|ESRRG,,,1365,FALSE,1453,1365,799,1406,1066,1076,953,1489,1457,1406,1334
hydrastinine,,7,Preclinical,haemostatic agent,,,,1365,FALSE,1500,1422,1610,854,957,1205,1554,1128,1365,1395,1325
iproniazid,,3,Withdrawn,monoamine oxidase inhibitor,MAOA|MAOB,,,1365,FALSE,1223,1334,267,1573,1340,1547,1569,1365,920,1438,1366
milrinone,,9,Launched,phosphodiesterase inhibitor,PDE2A|PDE3A|PDE3B|PDE5A,cardiology,congestive heart failure,1365,FALSE,1155,1468,685,1415,1335,1365,1372,1187,1434,1495,1281
17-hydroxyprogesterone-caproate,,5,Launched,progesterone receptor agonist,AR|ESR1|ESR2|NR1H4|NR1I2|NR3C1|PGR,,,1366,FALSE,1278,1366,1589,1200,706,1133,1403,1584,1348,1586,1399
cefotiam,,3,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,bacterial septicemia|bone and joint infections|respiratory tract infections|skin infections|urinary tract infections,1366,FALSE,1647,1082,1392,1621,1366,1000,1363,1005,1004,1512,1665
phenylbutyrate,,5,Launched,HDAC inhibitor,HDAC1,metabolism,urea cycle disorders,1368,FALSE,1368,1657,337,1327,1145,1450,1175,1182,1518,1399,1687
bmy-7378,,6,Preclinical,adrenergic receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|HTR1A,,,1369,FALSE,1381,1272,891,1335,1205,1486,1416,1432,1469,1369,1204
propantheline,,5,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4,gastroenterology,peptic ulcer disease (PUD),1370,FALSE,953,1357,1567,1545,1370,1534,1352,375,1391,1133,1452
thioperamide,,5,Preclinical,histamine receptor antagonist,HRH3|HRH4,,,1371,FALSE,1596,1319,1538,1028,1016,1374,1107,1167,1379,1371,1596
etazolate,,7,Phase 2,phosphodiesterase inhibitor,GABRB3|PDE4A,,,1372,FALSE,716,1604,1444,1332,1147,1376,1401,357,1372,1312,1546
phentermine,,2,Launched,dopamine uptake inhibitor|serotonin reuptake inhibitor,MAOA|MAOB|SLC6A2|SLC6A3|SLC6A4,endocrinology,weight-loss aid,1372,FALSE,1640,1151,1691,1293,1047,683,1391,1641,1485,681,1372
fgin-1-27,,22,Preclinical,inositol monophosphatase inhibitor,TSPO,,,1376,FALSE,1533,1241,1376,1274,1231,1208,1502,1241,1377,1502,1552
